テーブル名,フィールド名,Mandatory,Data Type,Size,Description
PurchTable（発注書）,PurchId（発注書）,○,String,20,
PurchTable（発注書）,OrderAccount（仕入先）,○,String,20,
PurchTable（発注書）,CurrencyCode（通貨）,○,String,3,
PurchTable（発注書）,InvoiceAccount（請求先/元ID）,○,String,20,
PurchTable（発注書）,LanguageId（言語）,○,String,7,
PurchTable（発注書）,VendGroup（仕入先グループ）,○,String,10,
PurchTable（発注書）,InventLocationId（倉庫）,,String,10,
PurchTable（発注書）,InventSiteId（サイト）,,String,10,
PurchTable（発注書）,PurchStatus（発注書のステータス）,,Enum,,PurchStatus
PurchTable（発注書）,ProjId（プロジェクトID）,,String,20,
PurchTable（発注書）,DeliveryDate（入荷希望日）,,Date,,
PurchTable（発注書）,DeliveryName（配送先名）,,String,100,
PurchTable（発注書）,DeliveryPostalAddress（配送先住所）,,Int64,,LogisticsPostalAddress.RecId
PurchTable（発注書）,DefaultDimention（分析コード）,,Int64,,DimensionAttributeValueSet.RecId
PurchTable（発注書）,InterCompanyOrder（会社間）,,Enum,,NoYes
PurchLine（購買注文明細行）,PurchId（発注書）,○,String,20,
PurchLine（購買注文明細行）,CurrencyCode（通貨）,○,String,3,
PurchLine（購買注文明細行）,VendAccount（仕入先）,○,String,20,
PurchLine（購買注文明細行）,VendGroup（仕入先グループ）,○,String,10,
PurchLine（購買注文明細行）,LineNumber（行番号）,,Int64,,
PurchLine（購買注文明細行）,InventTransId（ロットID）,,String,20,PK
PurchLine（購買注文明細行）,ItemId（品目番号）,,String,20,
PurchLine（購買注文明細行）,LineAmount（正味金額）,,Real,,
PurchLine（購買注文明細行）,LineDisc（割引）,,Real,,
PurchLine（購買注文明細行）,TaxGroup（消費税グループ）,,String,10,
PurchLine（購買注文明細行）,PurchQty（数量）,,Real,,
PurchLine（購買注文明細行）,PurchUnit（単位）,,String,10,UnitOfMeasure.Symbol
PurchLine（購買注文明細行）,DeliveryDate（入荷希望日）,,Date,,
PurchLine（購買注文明細行）,DeliveryName（配送先名）,,String,100,
PurchLine（購買注文明細行）,DeliveryPostalAddress（配送先住所）,,Int64,,LogisticsPostalAddress.RecId
PurchLine（購買注文明細行）,InventDimId（分析コード番号）,,String,20,InventDim.InventDimId
PurchLine（購買注文明細行）,DefaultDimention（分析コード）,,Int64,,DimensionAttributeValueSet.RecId
InventTable（品目）,ItemId（品目番号）,○,String,20,
InventTable（品目）,Product（製品）,○,Int64,,
InventTable（品目）,NameAlias（検索名）,,,,
InventTable（品目）,DefaultDimention（分析コード）,,Int64,,DimensionAttributeValueSet.RecId
InventTableModule（在庫モジュールパラメーター）,ItemId（品目番号）,○,String,20,InventTable.ItemId
InventTableModule（在庫モジュールパラメーター）,ModuleType（モジュールタイプ）,,Enum,,ModuleInventPurchSales
InventTableModule（在庫モジュールパラメーター）,UnitId（単位）,,String,10,UnitOfMeasure.Symbol
InventTableModule（在庫モジュールパラメーター）,Price（価格）,,Real,,
InventTableModule（在庫モジュールパラメーター）,TaxItemGroupId（品目消費税グループ）,,String,10,TaxItemGroupHeading.TaxItemGroup
InventTrans（在庫トランザクション）,InventDimId（分析コード番号）,○,String,20,
InventTrans（在庫トランザクション）,InventTransOrigin（ロットID）,○,Int64,,InventTransOrigin.RecId
InventTrans（在庫トランザクション）,ItemId（品目番号）,,String,20,
InventTrans（在庫トランザクション）,PackingSlipId（梱包明細）,,String,20,
InventTrans（在庫トランザクション）,Qty（数量）,,Real,,
InventTrans（在庫トランザクション）,ProjId（プロジェクトID）,,String,20,
InventTrans（在庫トランザクション）,InvoiceId（請求書）,,String,50,
InventTransOrigin（在庫トランザクション開始者）,InventTransId（ロットID）,○,String,20,
InventTransOrigin（在庫トランザクション開始者）,ItemId（品目番号）,○,String,20,
InventTransOrigin（在庫トランザクション開始者）,Party（名前）,,Int64,,
InventTransOrigin（在庫トランザクション開始者）,ReferenceCategory（参照）,,Enum,,InventTransType
InventSite（サイト）,SiteId（サイト）,○,String,10,
InventSite（サイト）,Name（名前）,,String,60,
InventSite（サイト）,DefaultDimention（分析コード）,,Int64,,
InventLocation（倉庫）,InventLocationId（倉庫）,○,String,10,
InventLocation（倉庫）,InventSiteId（サイト）,○,String,10,
InventLocation（倉庫）,Name（名前）,,String,60,
InventBatch（バッチ）,ItemId（品目番号）,○,String,20,InventTable.ItemId
InventBatch（バッチ）,InventBatchId（バッチ番号）,○,String,20,
InventDim（在庫分析コード）,InventDimId（分析コード番号）,○,String,20,
InventDim（在庫分析コード）,InventSiteId（サイト）,,String,10,InventSite.SiteId
InventDim（在庫分析コード）,InventLocationId（倉庫）,,String,10,InventLocation.InventLocationId
InventDim（在庫分析コード）,InventBatchId（バッチ番号）,,String,20,InventBatch.InventBatchId
InventSum（手持在庫）,ItemId（品目番号）,○,String,20,
InventSum（手持在庫）,InventDimId（分析コード番号）,○,String,20,
InventTransferLine（在庫移動指示明細行）,TransferId（移動番号）,○,String,20,InventTransferTable.TransferId
InventTransferLine（在庫移動指示明細行）,ItemId（品目番号）,○,String,20,
InventTransferLine（在庫移動指示明細行）,QtyTransfer（移動数量）,,Real,,
InventTransferTable（移動オーダー）,TransferId（移動番号）,○,String,20,
InventTransferTable（移動オーダー）,InventLocationIdFrom（移動元倉庫）,○,String,10,
InventTransferTable（移動オーダー）,InventLocationIdTo（移動先倉庫）,○,String,10,
InventTransferTable（移動オーダー）,InventLocationIdTransit（トランジット倉庫）,○,String,10,
InventTransferTable（移動オーダー）,TransferStatus（移動ステータス）,,Enum,,InventTransferStatus
InventItemSalesSetup（品目販売注文設定）,ItemId（品目番号）,○,String,20,InventTable.ItemId
InventItemSalesSetup（品目販売注文設定）,InventDimId（分析コード番号）,○,String,20,InventDim.InventDimId
InventItemSalesSetup（品目販売注文設定）,InventDimIdDefault（分析コード番号）,,String,20,InventDim.InventDimId
InventItemSalesSetup（品目販売注文設定）,Sequence（ランク）,,Int64,,
InventItemPurchSetup（品目発注書設定）,ItemId（品目番号）,○,String,20,InventTable.ItemId
InventItemPurchSetup（品目発注書設定）,InventDimId（分析コード番号）,○,String,20,InventDim.InventDimId
InventItemPurchSetup（品目発注書設定）,InventDimIdDefault（分析コード番号）,,String,20,InventDim.InventDimId
InventItemPurchSetup（品目発注書設定）,Sequence（ランク）,,Int64,,
InventItemInventSetup（品目在庫注文の設定）,ItemId（品目番号）,○,String,20,InventTable.ItemId
InventItemInventSetup（品目在庫注文の設定）,InventDimId（分析コード番号）,○,String,20,InventDim.InventDimId
InventItemInventSetup（品目在庫注文の設定）,InventDimIdDefault（分析コード番号）,,String,20,InventDim.InventDimId
InventItemInventSetup（品目在庫注文の設定）,Sequence（ランク）,,Int64,,
InventItemSetupSupplyType（供給タイプの設定）,ItemDataAreaId（会社）,,String,4,
InventItemSetupSupplyType（供給タイプの設定）,ItemId（品目番号）,,String,20,
